,Precision,Accuracy,Recall,source,target
38,0.9598286290322581,0.9470709405144695,0.9356360241733406,res50_vectors/lottery_100/lottery_100_20000,res18_vectors/lottery_20/lottery_20_20000
39,0.9738407258064516,0.9597065916398714,0.9468293639125748,res50_vectors/lottery_100/lottery_100_20000,res50_vectors/lottery_10/lottery_10_20000
40,0.9926411290322581,0.9753315916398714,0.9592791037506089,res50_vectors/lottery_100/lottery_100_20000,res50_vectors/lottery_100/lottery_100_20000
41,0.9757056451612903,0.9622688906752411,0.949946020217882,res50_vectors/lottery_100/lottery_100_20000,res50_vectors/lottery_20/lottery_20_20000
42,0.9574596774193549,0.9500100482315113,0.9431039618707179,res50_vectors/lottery_20/lottery_20_20000,res18_vectors/lottery_100/lottery_100_20000
43,0.9483366935483871,0.9411173633440515,0.9344889242078077,res50_vectors/lottery_20/lottery_20_20000,res18_vectors/lottery_10/lottery_10_20000
44,0.9578629032258065,0.9490554662379421,0.9409784115666469,res50_vectors/lottery_20/lottery_20_20000,res18_vectors/lottery_50/lottery_50_20000
45,0.9545362903225807,0.9461163585209004,0.9384074129131361,res50_vectors/lottery_20/lottery_20_20000,res18_vectors/lottery_20/lottery_20_20000
46,0.9710685483870968,0.9596563504823151,0.9491575524682234,res50_vectors/lottery_20/lottery_20_20000,res50_vectors/lottery_10/lottery_10_20000
47,0.9680947580645162,0.9603346061093248,0.9530590979010569,res50_vectors/lottery_20/lottery_20_20000,res50_vectors/lottery_100/lottery_100_20000
48,0.9924395161290323,0.9743770096463023,0.9576848249027238,res50_vectors/lottery_20/lottery_20_20000,res50_vectors/lottery_20/lottery_20_20000
