,Precision,Accuracy,Recall,source,target
38,0.9631466902313625,0.9485718870346598,0.9357463414634146,res50_vectors/lottery_100/lottery_100_50000,res18_vectors/lottery_20/lottery_20_50000
39,0.9759800771208226,0.9616495507060334,0.9486959237857254,res50_vectors/lottery_100/lottery_100_50000,res50_vectors/lottery_10/lottery_10_50000
40,0.9914644922879178,0.9735438061617459,0.9570957735556417,res50_vectors/lottery_100/lottery_100_50000,res50_vectors/lottery_100/lottery_100_50000
41,0.9786511889460154,0.9643874358151476,0.951422379288127,res50_vectors/lottery_100/lottery_100_50000,res50_vectors/lottery_20/lottery_20_50000
42,0.9639098650385605,0.951379974326059,0.9402303804411707,res50_vectors/lottery_20/lottery_20_50000,res18_vectors/lottery_100/lottery_100_50000
43,0.9577241323907455,0.9443898427471117,0.9327165685449958,res50_vectors/lottery_20/lottery_20_50000,res18_vectors/lottery_10/lottery_10_50000
44,0.9650546272493573,0.952613526957638,0.9415130199659071,res50_vectors/lottery_20/lottery_20_50000,res18_vectors/lottery_50/lottery_50_50000
45,0.9597525706940874,0.9480403562259306,0.937663102128912,res50_vectors/lottery_20/lottery_20_50000,res18_vectors/lottery_20/lottery_20_50000
46,0.9744537275064268,0.9618501283697047,0.9504035101465172,res50_vectors/lottery_20/lottery_20_50000,res50_vectors/lottery_10/lottery_10_50000
47,0.9732888817480719,0.9627126123234917,0.9530383480825959,res50_vectors/lottery_20/lottery_20_50000,res50_vectors/lottery_100/lottery_100_50000
48,0.992066998714653,0.9741054236200257,0.9576031327543424,res50_vectors/lottery_20/lottery_20_50000,res50_vectors/lottery_20/lottery_20_50000
